meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1218,9157,55,1,2023-09-03T13:23:22.770000+00:00,29.632,29.288,28.47,317.0,299.0,False,87.39,"[2048, 2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051, 2051, 2048]",284.0
1218,9157,16,1,2023-09-03T13:23:22.770000+00:00,30.469,29.908,28.623,322.0,306.0,False,89.0,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",280.0
1218,9157,63,1,2023-09-03T13:23:22.770000+00:00,30.582,30.358,28.7,317.0,311.0,False,89.64,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",286.0
1218,9157,23,1,2023-09-03T13:23:22.770000+00:00,31.247,30.961,28.839,333.0,316.0,False,91.047,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051]",280.0
1218,9157,1,1,2023-09-03T13:23:22.770000+00:00,30.001,29.666,28.473,320.0,307.0,False,88.14,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",285.0
1218,9157,81,1,2023-09-03T13:23:22.770000+00:00,31.143,30.703,28.748,326.0,311.0,False,90.594,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",292.0
1218,9157,44,1,2023-09-03T13:23:22.770000+00:00,32.216,31.059,29.053,323.0,318.0,False,92.328,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",292.0
1218,9157,4,1,2023-09-03T13:23:22.770000+00:00,31.824,31.119,28.885,310.0,307.0,False,91.828,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",290.0
1218,9157,11,1,2023-09-03T13:23:22.770000+00:00,30.802,30.555,28.768,329.0,313.0,False,90.125,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051]",298.0
1218,9157,14,1,2023-09-03T13:23:22.770000+00:00,32.276,32.049,29.284,326.0,310.0,False,93.609,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",258.0
